 Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2018-02-08 22:06 (UTC),Terr-AIS,94,,-37.62745,59.5985,,,154
2018-02-08 22:10 (UTC),Terr-AIS,115,,-37.5541,59.50754,,,157
2018-02-08 22:12 (UTC),Terr-AIS,118,,-37.47026,59.39391,,,155
2018-02-08 22:14 (UTC),Terr-AIS,113,,-37.4066,59.30555,,,155
2018-02-08 22:16 (UTC),Terr-AIS,110,,-37.38739,59.26272,,,172
2018-02-08 22:20 (UTC),Terr-AIS,115,,-37.37455,59.20087,,,173
2018-02-08 22:22 (UTC),Terr-AIS,121,,-37.37132,59.18579,,,177
2018-02-08 22:24 (UTC),Terr-AIS,118,,-37.35636,59.10043,,,187
2018-02-08 22:28 (UTC),Terr-AIS,119,,-37.35575,59.07687,,,182
2018-02-08 22:30 (UTC),Terr-AIS,117,,-37.34849,59.00352,,,171
2018-02-08 22:32 (UTC),Terr-AIS,118,,-37.33965,58.92877,,,188
2018-02-08 22:34 (UTC),Terr-AIS,125,,-37.34335,58.88713,,,174
2018-02-08 22:37 (UTC),Terr-AIS,120,,-37.34472,58.8567,,,181
2018-02-08 22:40 (UTC),Terr-AIS,126,,-37.3899,58.76357,,,199
2018-02-08 22:42 (UTC),Terr-AIS,119,,-37.40058,58.75064,,,202
2018-02-08 22:44 (UTC),Terr-AIS,126,,-37.46042,58.68259,-37.435,58.685833,207
2018-02-08 22:46 (UTC),Terr-AIS,125,,-37.50707,58.6333,,,201
2018-02-08 22:49 (UTC),Terr-AIS,126,,-37.54321,58.59607,,,206
2018-02-08 22:53 (UTC),Terr-AIS,126,,-37.63192,58.50067,,,208
2018-02-08 22:55 (UTC),Terr-AIS,132,,-37.71886,58.42017,-37.718333,58.401944,213
2018-02-08 22:57 (UTC),Terr-AIS,129,,-37.75774,58.38409,,,212
2018-02-08 22:59 (UTC),Terr-AIS,137,,-37.89707,58.26212,,,211
2018-02-08 23:01 (UTC),Terr-AIS,134,,-38.10635,58.07441,,,213
2018-02-08 23:04 (UTC),Terr-AIS,149,,-38.46027,57.75609,,,212
